acl_id,survey_section,year,annotator_count,extracted_metric,iaa_value_extracted,subjectivity_rank
2016.lilt-14.6,§4.4,2016,,cohens_kappa,0.196,4.0
2016.lilt-14.6,§4.4,2016,,cohens_kappa,0.614,4.0
2016.lilt-14.6,§4.4,2016,,cohens_kappa,0.779,4.0
2020.coling-main.74,§4.3,2020,,krippendorff_alpha,0.57,4.0
2020.coling-main.74,§4.3,2020,,krippendorff_alpha,0.49,4.0
2020.lrec-1.129,§4.3,2020,,cohens_kappa,0.99,4.0
2020.lrec-1.339,§4.5,2020,,cohens_kappa,0.791,4.0
2020.lrec-1.339,§4.5,2020,,cohens_kappa,0.791,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.42,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.34,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.47,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.53,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.42,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.48,4.0
2020.lrec-1.775,§4.1,2020,,cohens_kappa,0.46,4.0
2020.nlpcss-1.15,§4.4,2020,,cohens_kappa,0.66,4.0
2020.nlpcss-1.15,§4.4,2020,,cohens_kappa,0.74,4.0
2020.socialnlp-1.4,§4.5,2020,,krippendorff_alpha,0.496,4.0
2021.acl-long.1,§4.5,2021,,cohens_kappa,0.54,4.0
2021.acl-long.314,§4.3,2021,,krippendorff_alpha,0.79,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,-0.05,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.39,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.21,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.46,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.26,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.4,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.39,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.6,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.46,4.0
2021.findings-emnlp.101,§3,2021,,krippendorff_alpha,0.4,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.492,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.345,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.492,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.345,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.21,4.0
2021.humeval-1.12,§4.3,2021,,cohens_kappa,0.62,4.0
2021.inlg-1.31,§4.7,2021,,krippendorff_alpha,0.01,4.0
2021.inlg-1.31,§4.7,2021,,krippendorff_alpha,0.05,4.0
2021.inlg-1.31,§4.7,2021,,krippendorff_alpha,0.01,4.0
2021.naacl-main.347,§4.5,2021,,cohens_kappa,0.88,4.0
2021.naacl-main.347,§4.5,2021,,cohens_kappa,0.88,4.0
2021.naacl-main.347,§4.5,2021,,cohens_kappa,0.88,4.0
2021.ranlp-1.102,§4.5,2021,,cohens_kappa,0.52,4.0
2021.ranlp-1.102,§4.5,2021,,cohens_kappa,0.17,4.0
2021.ranlp-1.102,§4.5,2021,,cohens_kappa,0.2,4.0
2021.socialnlp-1.7,§4.5,2021,,krippendorff_alpha,0.05,4.0
2021.socialnlp-1.7,§4.5,2021,,krippendorff_alpha,0.39,4.0
2021.socialnlp-1.7,§4.5,2021,,krippendorff_alpha,0.44,4.0
2021.socialnlp-1.7,§4.5,2021,,krippendorff_alpha,0.34,4.0
2022.aacl-short.13,§4.2,2022,,krippendorff_alpha,0.87,4.0
2022.bionlp-1.26,§4.1,2022,,cohens_kappa,0.61,4.0
2022.coling-1.328,§4.7,2022,,cohens_kappa,0.059,4.0
2022.coling-1.328,§4.7,2022,,cohens_kappa,0.372,4.0
2022.coling-1.328,§4.7,2022,,cohens_kappa,0.089,4.0
2022.coling-1.328,§4.7,2022,,cohens_kappa,0.558,4.0
2022.finnlp-1.22,§4.3,2022,,krippendorff_alpha,0.81,4.0
2022.finnlp-1.22,§4.3,2022,,krippendorff_alpha,0.81,4.0
2022.law-1.6,§3,2022,,cohens_kappa,0.58,4.0
2022.law-1.6,§3,2022,,cohens_kappa,0.721,4.0
2022.law-1.6,§3,2022,,cohens_kappa,0.45,4.0
2022.law-1.14,§4.3,2022,,cohens_kappa,0.577,4.0
2022.law-1.14,§4.3,2022,,cohens_kappa,0.517,4.0
2022.law-1.18,§4.3,2022,,cohens_kappa,0.83,4.0
2022.law-1.18,§4.3,2022,,cohens_kappa,0.9,4.0
2022.lrec-1.83,§4.3,2022,,cohens_kappa,0.77,4.0
2022.lrec-1.201,§4.3,2022,,cohens_kappa,0.4,4.0
2022.lrec-1.261,§4.3,2022,,cohens_kappa,0.49,4.0
2022.lrec-1.389,§4.2,2022,,cohens_kappa,0.68,4.0
2022.lrec-1.389,§4.2,2022,,krippendorff_alpha,0.85,4.0
2022.lrec-1.658,§4.3,2022,,cohens_kappa,0.73,4.0
2022.lrec-1.658,§4.3,2022,,cohens_kappa,0.79,4.0
2022.lrec-1.658,§4.3,2022,,krippendorff_alpha,0.81,4.0
2022.lrec-1.658,§4.3,2022,,krippendorff_alpha,0.67,4.0
2022.lrec-1.658,§4.3,2022,,krippendorff_alpha,0.79,4.0
2022.lrec-1.757,§4.4,2022,,cohens_kappa,0.29,4.0
2022.lrec-1.757,§4.4,2022,,cohens_kappa,0.99,4.0
2022.nlperspectives-1.1,§4.3,2022,,cohens_kappa,0.75,4.0
2022.nlperspectives-1.7,§4.6,2022,,krippendorff_alpha,0.05,4.0
2023.arabicnlp-1.25,§4.2,2023,,cohens_kappa,0.9861,4.0
2023.codi-1.1,§4.3,2023,,cohens_kappa,0.71,4.0
2023.eacl-main.121,§4.7,2023,,cohens_kappa,0.71,4.0
2023.humeval-1.15,§4.7,2023,,krippendorff_alpha,0.68,4.0
2023.humeval-1.15,§4.7,2023,,krippendorff_alpha,0.11,4.0
2023.law-1.10,§4.5,2023,,cohens_kappa,0.49,4.0
2023.law-1.10,§4.5,2023,,cohens_kappa,0.89,4.0
2023.law-1.10,§4.5,2023,,cohens_kappa,0.77,4.0
2023.law-1.16,§4.3,2023,,cohens_kappa,0.62,4.0
2023.law-1.16,§4.3,2023,,cohens_kappa,0.49,4.0
2023.ranlp-stud.8,§4.1,2023,,cohens_kappa,0.53,4.0
2024.arabicnlp-1.62,§3,2024,,krippendorff_alpha,0.43,4.0
2024.arabicnlp-1.62,§3,2024,,krippendorff_alpha,0.3,4.0
2024.arabicnlp-1.68,§3,2024,,krippendorff_alpha,0.42,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.886,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.866,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.42,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.593,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.479,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.455,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.431,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.623,4.0
2024.cogalex-1.8,§4.3,2024,,cohens_kappa,0.523,4.0
2024.emnlp-main.953,§4.6,2024,,krippendorff_alpha,0.72,4.0
2024.humeval-1.13,§4.7,2024,,krippendorff_alpha,0.63,4.0
2024.humeval-1.21,§4.7,2024,,krippendorff_alpha,0.63,4.0
